XCoord,YCoord,NUMBER,BLDGABBR,BLDGNAME
1081920.37000734,3111834.74688532, ,NULL,NULL
1081924.19800000,3111828.87250000, ,NULL,NULL
1081590.52900000,3111441.36250000, ,NULL,NULL
1080834.51350000,3107344.32700000, ,NULL,NULL
1080534.30513527,3107356.57044372, ,NULL,NULL
1080522.07110020,3107356.45427215, ,NULL,NULL
1080716.05307985,3108185.60252538, ,NULL,NULL
1081287.26935513,3108469.77525433,1279,NULL,McKenzie Telecom Hub
1080525.09517693,3111660.60553631, ,NULL,NULL
1081310.71490000,3111910.00540000, ,NULL,NULL
1081068.46814892,3112575.57949079, ,NULL,NULL
1081332.64579684,3111614.89976666, ,NULL,NULL
1081673.91505777,3111571.20998377, ,NULL,NULL
1081609.36836845,3111755.80683702, ,NULL,NULL
1082661.94707854,3112554.82792941, ,NULL,NULL
1082716.19683269,3112526.78022713, ,NULL,NULL
1082784.61034171,3112590.31511163, ,NULL,NULL
1082816.51296420,3112617.44900508, ,NULL,NULL
1082829.03969375,3112666.05942643, ,NULL,NULL
1081805.48600639,3111302.24932475, ,NULL,NULL
1081820.50848885,3111302.86206882, ,NULL,NULL
1081842.32513699,3111303.64635249, ,NULL,NULL
1081857.40389303,3111304.23077484, ,NULL,NULL
1082956.81048374,3112463.94093626, ,NULL,NULL
1080589.58608539,3111780.11829294,1224,NULL,TVMC-Animal Isolation Bldg #5
1080574.65779780,3111763.16983712,1223,NULL,TVMC-Animal Isolation Bldg #4
1081914.17333077,3111800.34166515,1508,HOBG,Price Hobgood Ag. Engineering Research Lab
1079275.38541776,3111783.94846878,1151,EQCT,Equine Center Stable
1083042.25303820,3111775.61624366,0405,LACY,Lacy Hall - Dorm 6
1082010.47775242,3111772.27579408,1503,CMAT,Cater-Mattil Hall
1081631.00411886,3111784.59486138,0507,VMS,Veterinary Medical Sciences Building
1080558.49120000,3111744.61420000,1222,NULL,TVMC-Animal Isolation Bldg #3
1080573.98320000,3111730.89520000,1228,NULL,TVMC-Animal Isolation Bldg #9
1080543.55770000,3111727.70670000,1221,NULL,TVMC-Animal Isolation Bldg #2
1081230.36957229,3111746.18645898,1232,VMTF,Theriogenology Facility, Equine Reproduction
1081592.09846304,3111732.74190961,1026,VMA,Veterinary Medicine Administration
1081514.98623471,3111729.91550843,0508,VTH,Veterinary Teaching Hospital
1080558.97486013,3111714.03165150,1227,NULL,TVMC-Animal Isolation Bldg #8
1080528.58470000,3111710.86920000,1220,NULL,TVMC-Animal Isolation Bldg #1
1080544.17870000,3111697.09970000,1226,NULL,TVMC-Animal Isolation Bldg #7
1083308.18749344,3111719.46584720,0448,ADAM,Adams Band Hall
